,user_name,date,text,hashtags,Date,Time
455,jonjon,2022-10-12 08:10:05+00:00,"Baddest bitch in the gaaaame ✨🤘🏼🤟🏼
@marinaxsummers 

#TeamMarinaSummers #DragRacePH https://t.co/vZnwGJOgg1","['TeamMarinaSummers', 'DragRacePH']",2022-10-12,08:10:05
456,Joni,2022-10-12 08:09:46+00:00,"We’re here at Forest Cafe for the live viewing of #DragRacePH. I’m #TeamMarinaSummers and my sister is #TeamPrecious. We’re cheering for you, queens! @marinaxsummers @PreciousPaulaN","['DragRacePH', 'TeamMarinaSummers']",2022-10-12,08:09:46
457,romy 🤍 | 35 | #teamdakota,2022-10-12 08:07:46+00:00,"HAPPY MARINA SUMMERS CROWNING DAY! 🫶🏻 #TeamMarina #teammarinasummers 
https://t.co/NNdkzxNlP0","['TeamMarina', 'teammarinasummers']",2022-10-12,08:07:46
458,Ms. Loreta,2022-10-12 08:04:38+00:00,"Let's get one thing straight and two things gay:

- I'm not;
- I am #TeamPreciousPaulaNicole;
- and #TeamMarinaSummers","['TeamPreciousPaulaNicole', 'TeamMarinaSummers']",2022-10-12,08:04:38
459,nat,2022-10-12 07:53:40+00:00,I'm making Leche Flan for I will be celebrating @marinaxsummers' win (yes I am claiming it already) and eating while watching the finale of #DragRacePH #DragRacePhilippines #TeamMarinaSummers #TeamMarina,,2022-10-12,07:53:40
460,apathetic🌷💫,2022-10-12 07:32:21+00:00,#Overwatch2 is amazing there I said it anywys #TeamMarinaSummers #TeamPreciousPaulaNicole https://t.co/bT0wSQvmTY,"['Overwatch2', 'TeamMarinaSummers', 'TeamPreciousPaulaNicole']",2022-10-12,07:32:21
461,°•mar(c) chemical roxas ₊˚ 💙₊✧ ﾟ.,2022-10-12 07:26:49+00:00,omg its @marinaxsummers crowning day ❤️ #TeamMarina #TeamMarinaSummers,"['TeamMarina', 'TeamMarinaSummers']",2022-10-12,07:26:49
462,wheein gf,2022-10-12 07:26:29+00:00,drag race ph finale let's go my filipina winner  #TeamMarinaSummers #TeamMarina,"['TeamMarinaSummers', 'TeamMarina']",2022-10-12,07:26:29
463,call me purr,2022-10-12 07:05:46+00:00,forgot i was twitter famous but anyways cant wait for miss marina to get crowned today 😻  #DragRacePH #TeamMarinaSummers https://t.co/BuYN2sapaL,['DragRacePH'],2022-10-12,07:05:46
464,DesseMasse🧡limit mode💛,2022-10-12 06:51:17+00:00,"You'll definitely win this!!! 👑
#TeamMarinaSummers https://t.co/H8Cb0BCv9L",['TeamMarinaSummers'],2022-10-12,06:51:17
465,Lazuli,2022-10-12 06:48:58+00:00,@KarlaMM_ IM STUCK BETWEEN #TeamMarinaSummers #TeamEvaLeQueen 😭😭😭 BUT WHOEVER WINS IM STILL GONNA BE HAPPY 💕,"['TeamMarinaSummers', 'TeamEvaLeQueen']",2022-10-12,06:48:58
466,Eds Targaryen,2022-10-12 06:05:13+00:00,"Happy Drag Race PH Coronation Day 👑

Meet my Filipina Winnaaaah - @marinaxsummers 🔥🖤

#TeamMarinaSummers #DragRacePH https://t.co/UbY3S2wwd6","['TeamMarinaSummers', 'DragRacePH']",2022-10-12,06:05:13
467,Dean Shaari,2022-10-12 06:02:05+00:00,"@marinaxsummers Alam Mo Yan, @marinaxsummers !
Supporting you all the way from 🇲🇾💜
#TeamMarinaSummers",['TeamMarinaSummers'],2022-10-12,06:02:05
468,betti🧣,2022-10-12 05:57:14+00:00,"If @marinaxsummers doesn’t win tonight, ipapacancel ko season 2! Haha charrr #TeamMarinaSummers",['TeamMarinaSummers'],2022-10-12,05:57:14
469,bry,2022-10-12 05:54:54+00:00,#TeamMarinaSummers for tonight's Finale of #DragRacePhilippines 🇵🇭🏁,"['TeamMarinaSummers', 'DragRacePhilippines']",2022-10-12,05:54:54
470,nica⁷,2022-10-12 05:51:06+00:00,LET’S GO MARINA!!!! #TeamMarinaSummers https://t.co/kB5yfdkcLP,['TeamMarinaSummers'],2022-10-12,05:51:06
471,Qióngsī| TeamMinty,2022-10-12 05:50:38+00:00,Finale Day!!!! Alam moyan @marinaxsummers #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,05:50:38
472,tampalpuke 🐟,2022-10-12 05:42:02+00:00,what if i like all four of you #TeamMarinaSummers #TeamEva #TeamPrecious #TeamXilhouete 🥲,"['TeamMarinaSummers', 'TeamEva', 'TeamPrecious', 'TeamXilhouete']",2022-10-12,05:42:02
473,jade,2022-10-12 05:37:12+00:00,#DragRacePh finale tonight! I'm #TeamMarinaSummers and #TeamEvaLeQueen! It's so nerve wracking. 🥴,"['DragRacePh', 'TeamMarinaSummers', 'TeamEvaLeQueen']",2022-10-12,05:37:12
474,Czharielle,2022-10-12 05:36:40+00:00,But I’m #TeamMarinaSummers ☀️,['TeamMarinaSummers'],2022-10-12,05:36:40
475,kaira needs to sh,2022-10-12 05:33:09+00:00,@marinaxsummers #TeamMarinaSummers AAAAAAAA FORDA WIN GO ATEEE MARINA,['TeamMarinaSummers'],2022-10-12,05:33:09
476,kaira needs to sh,2022-10-12 05:30:44+00:00,@marinaxsummers WE ALL KNOW THAT U ARE GONNA WINNN #TeamMarinaSummers ❤️❤️❤️,['TeamMarinaSummers'],2022-10-12,05:30:44
477,Everyday Gorgeous,2022-10-12 05:28:22+00:00,Let's go Marina!!! #TeamMarinaSummers #DragRacePh https://t.co/9UgjIwimi4,"['TeamMarinaSummers', 'DragRacePh']",2022-10-12,05:28:22
478,☾ chenny ✨,2022-10-12 05:27:38+00:00,Finale day!!! #TeamMarinaSummers all the way 💖💖💖 Laban my filipinah winnah #TeamMarina #DragRacePh,"['TeamMarinaSummers', 'TeamMarina', 'DragRacePh']",2022-10-12,05:27:38
479,Joshua Brendon Targaryen,2022-10-12 05:24:36+00:00,"It’s Marina Summers’ coronation day. What’s your favorite moment from our Queen of the Summer?

#DragRacePH
#TeamMarinaSummers https://t.co/pmp7f0Zx9g",['DragRacePH'],2022-10-12,05:24:36
480,𝙆 🌸,2022-10-12 05:23:25+00:00,"Good luck, Filipina winnah! 🤙🏼🤘🏼🤙🏼 #TeamMarinaSummers 🎊 https://t.co/EN4pGh255H",['TeamMarinaSummers'],2022-10-12,05:23:25
481,Leif Angelo,2022-10-12 05:22:37+00:00,Ready for tonight's finale #TeamMarinaSummers #DragRacePh,"['TeamMarinaSummers', 'DragRacePh']",2022-10-12,05:22:37
482,🅰️R🌸 Team Precious Sakalam,2022-10-12 05:17:20+00:00,"Top 4 Commanders revealed 

#TeamMarinaSummers #TeamPrecious #TeamEvaLeQueen #TeamXilhouete #DragRacePh 

Design by @aaangsss https://t.co/fjRDCvCGHA","['TeamMarinaSummers', 'TeamPrecious', 'TeamEvaLeQueen', 'TeamXilhouete', 'DragRacePh']",2022-10-12,05:17:20
483,Vanilla,2022-10-12 05:09:56+00:00,Good afternoon to #TeamMarinaSummers only.,['TeamMarinaSummers'],2022-10-12,05:09:56
484,Marina Yumburger,2022-10-12 05:04:08+00:00,"Deleting twitter rn, if yall don't see me in 2-3 days, expect that I probably died to my 2 morning 80 item midterm exams that go after each other but before that, don't forget to like, follow and subscribe to today's DRPH finale video #TeamMarinaSummers
https://t.co/lh7643GVAh",,2022-10-12,05:04:08
485,Elaine,2022-10-12 04:57:29+00:00,I'm so ready for #DragRacePH finale! Lezzgaw #TeamMarinaSummers #TeamPreciousPaulaNicole,"['DragRacePH', 'TeamMarinaSummers', 'TeamPreciousPaulaNicole']",2022-10-12,04:57:29
486,CASPER Ferrer,2022-10-12 04:55:51+00:00,CROWN HER TONIGHT. #TeamMarinaSummers https://t.co/020vsOfoc5,['TeamMarinaSummers'],2022-10-12,04:55:51
487,CASPER Ferrer,2022-10-12 04:54:46+00:00,Let's goooo #TeamMarinaSummers #DragRacePH https://t.co/oltLE4PKgk,"['TeamMarinaSummers', 'DragRacePH']",2022-10-12,04:54:46
488,sin cerebro 😊,2022-10-12 04:52:26+00:00,@jdmarianoxx @VinasDeluxe Matic #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,04:52:26
489,älexmar,2022-10-12 04:46:59+00:00,#TeamMarinaSummers forda win!!! 🫶💗✨ FILIFINA WINNAH 🥰,['TeamMarinaSummers'],2022-10-12,04:46:59
490,ditto squirtle💦,2022-10-12 04:46:33+00:00,cant wait for marina to be crowned hehe #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,04:46:33
491,𝑎𝑙𝑖 ♡ #sleepyhead era,2022-10-12 04:43:41+00:00,"#TeamMarinaSummers all the fucking waayyyyy, my fucking glamazon!",['TeamMarinaSummers'],2022-10-12,04:43:41
492,chennie,2022-10-12 04:42:37+00:00,Lets go!! #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,04:42:37
493,yeji.,2022-10-12 04:41:30+00:00,🙏🏻🙏🏻🙏🏻LET IT BE MARINA SUMMERSSSS 🙏🏻🙏🏻🙏🏻#TEAMMARINA #TeamMarinaSummers,"['TEAMMARINA', 'TeamMarinaSummers']",2022-10-12,04:41:30
494,Shinberry🍓,2022-10-12 04:39:24+00:00,@marinaxsummers My ✨magical✨ spin the wheel chose you to become the queen❤️❤️❤️ ayusin mo accla😭😭😭❤️❤️❤️ #TeamMarinaSummers https://t.co/oy7ghcAuwQ,,2022-10-12,04:39:24
495,Jeeet ♡ Born Pink 👑,2022-10-12 04:37:00+00:00,@marinaxsummers will be the first winner of @dragraceph #TeamMarinaSummers,['TeamMarinaSummers'],2022-10-12,04:37:00
496,jero,2022-10-12 04:33:19+00:00,#TeamMarinaSummers all the fucking way 💫,['TeamMarinaSummers'],2022-10-12,04:33:19
497,ً,2022-10-12 04:21:27+00:00,fine fresh fish on a silver platter #TeamMarinaSummers goodluck queen ko,['TeamMarinaSummers'],2022-10-12,04:21:27
498,Arkie || EXHAUSTED AF 😔,2022-10-12 04:21:14+00:00,Our Filipino Winner #TeamMarinaSummers #TeamMarina https://t.co/uNxPACnzvx,"['TeamMarinaSummers', 'TeamMarina']",2022-10-12,04:21:14
499,Coby Cheong,2022-10-12 04:16:37+00:00,Its tonight naaaa! #teammarinasummers #TeamEvaLeQueen,"['teammarinasummers', 'TeamEvaLeQueen']",2022-10-12,04:16:37
500,Yerna,2022-10-12 04:12:47+00:00,The day na #TeamMarinaSummers LETS GO ITS TIME THAT YOU FINISH THIS RACE AND SNATCH THE CROWN QUEEN @marinaxsummers 👑👑👑,['TeamMarinaSummers'],2022-10-12,04:12:47
501,Marina Yumburger,2022-10-12 04:04:21+00:00,"LAVARN MOTHER #TeamMarinaSummers
https://t.co/lh7643GVAh https://t.co/MW8SrZGuRb",['TeamMarinaSummers'],2022-10-12,04:04:21
502,Shokke Summers 🌸🏳️‍🌈,2022-10-12 04:03:05+00:00,OMGGGG KABADO BENTE FOR THE FILIPINAAA WINNAHHHHH 👑 #TeamMarinaSummers https://t.co/j9hGlSZtXg,['TeamMarinaSummers'],2022-10-12,04:03:05
503,chewyyy #SB19,2022-10-12 04:01:35+00:00,"Your Filipino winnah! 🤩💙

#TeamMarinaSummers #TeamMarina #DragRacePH @marinaxsummers https://t.co/9MAZR62u9k","['TeamMarinaSummers', 'TeamMarina', 'DragRacePH']",2022-10-12,04:01:35
504,Ck Quesea🎀🎀,2022-10-12 03:47:39+00:00,#TeamMarinaSummers  good morning,['TeamMarinaSummers'],2022-10-12,03:47:39
505,rad🪐,2022-10-12 03:47:15+00:00,#DragRacePH finale TONIGHT!!! #TeamMarinaSummers #TeamXilhouete,"['DragRacePH', 'TeamMarinaSummers', 'TeamXilhouete']",2022-10-12,03:47:15
506,Kyle Adlawan,2022-10-12 03:43:39+00:00,Wishing my dearest talented friends a sweet good luck for tonight’s finale!!!! ✨ @marinaxsummers @eva_lequeen #TeamMarinaSummers #TeamEvaLeQueen #DragRacePH https://t.co/eyLgz43Mlo,,2022-10-12,03:43:39
507,eds 🤍,2022-10-12 03:43:10+00:00,"can we skip to the good part? 🎶

…like mag-7PM na sana bc it’s finally   #DragRacePHFinale✨ fingers crossed for my bias @eva_lequeen &amp; my bias wrecker @marinaxsummers 

#TeamEvaLeQueen
#TeamMarinaSummers",['DragRacePHFinale'],2022-10-12,03:43:10
