,user_name,date,text,hashtags,Date,Time
80,Hase💕,2022-10-12 15:18:38+00:00,HELLO I CAN FINALLY SAY THAT A DRAG RACE SUPERSTAR SAT ON ME HUHU CONGRATS MY QUEEN @PreciousPaulaN #TeamPrecious #TeamPreciousPaulaNicole https://t.co/wbw4wrWk0l,['TeamPrecious'],2022-10-12,15:18:38
82,POPOY,2022-10-12 15:11:57+00:00,"#TEAMPRECIOUS #TeamPreciousPaulaNicole ALL THE WAY! MGA ACCLA, KNOW YOUR SHOW. MARINA WON EVERY EPISODE PERO THIS FINALE TALAGA ANG NAGMAMATTER. MARINA SLAYED PERO PPN DEVOURED THAT LIP SYNC! WELL DESERVED BOSS RODOLFO! ROOTING FOR VIÑAS AND DIVINE DIVAS TALAGA! 💖💖💖 https://t.co/ewU5poceFl","['TEAMPRECIOUS', 'TeamPreciousPaulaNicole']",2022-10-12,15:11:57
83,mara paula nicole | divoto + tampalpukean 💖✨,2022-10-12 15:09:05+00:00,"imagine: precious gave her all just to be able to compete, fought to the finale, SLAYED THAT LIPSYNC, then went home and struggled for MONTHS until the promo came out

now this

this is her moment &amp; she deserves it ♥️✨👸

#DragRacePH 
#DragRacePHfinale
#TeamPreciousPaulaNicole https://t.co/6bC0y3U65B",,2022-10-12,15:09:05
84,cj,2022-10-12 15:08:11+00:00,"These two incredible queens really slayed the lipsync performance. But the finale part is my fave, made a part of my heart cry. Mahal ko kayo @PreciousPaulaN @marinaxsummers!

#DragRacePhilippines #DragRacePH 
#TeamPreciousPaulaNicole #TeamMarinaSummers https://t.co/P71HFdhak8",,2022-10-12,15:08:11
85,Cara Eriguel-Rabat,2022-10-12 15:08:08+00:00,OMGGGGG MY HEART!! #TeamPreciousPaulaNicole !!!!! 👑👑👑,['TeamPreciousPaulaNicole'],2022-10-12,15:08:08
86,Andy Crocker💎,2022-10-12 15:07:24+00:00,"Congrats! Ate @PreciousPaulaN !
I'm a Forever Fan! 🥰.
#TeamPreciousPaulaNicole https://t.co/auBFEoyAgw",['TeamPreciousPaulaNicole'],2022-10-12,15:07:24
87,medjtech intern:eraaa,2022-10-12 14:58:27+00:00,This moment ✨ #DragRacePH #DragRacePhilippines #DragRace #TeamPreciousPaulaNicole https://t.co/B4FVAH5TA1 https://t.co/k4uENBSHRQ,"['DragRacePH', 'DragRacePhilippines', 'DragRace', 'TeamPreciousPaulaNicole']",2022-10-12,14:58:27
88,Vi,2022-10-12 14:57:56+00:00,Congratulations @PreciousPaulaN #TeamPreciousPaulaNicole  🥹🥹,['TeamPreciousPaulaNicole'],2022-10-12,14:57:56
89,4AMilie ADORE’S day🌻,2022-10-12 14:56:43+00:00,"congrats my queen @PreciousPaulaN ..  you are a pure joy, have the warmest soul and multi talented queen.. 🥹♥️🥹♥️

#DragRacePHfinale 
#TeamPreciousPaulaNicole https://t.co/d3v3OX6Bov",,2022-10-12,14:56:43
91,Khristine Kate Perez,2022-10-12 14:47:14+00:00,goodnight ! ang sarap matulog with a Precious Heart 🫶🏻❤️  #DragRacePHfinale #DragRacePhilippines #PreciousPaulaNicole #TeamPreciousPaulaNicole https://t.co/OWj1f0YjPd,"['DragRacePHfinale', 'DragRacePhilippines']",2022-10-12,14:47:14
92,eLvs 🅼 🐼,2022-10-12 14:44:40+00:00,"@PreciousPaulaN We love you, @PreciousPaulaN 😘😘😘

https://t.co/LPhdW2nElg

#TeamPreciousPaulaNicole 
#DragRacePHfinale","['TeamPreciousPaulaNicole', 'DragRacePHfinale']",2022-10-12,14:44:40
94,aikachu🌷 | viñas deluxe apologist,2022-10-12 14:40:30+00:00,"""Life is precious, and so we are."" 

Condragulations again to our first ever Filipino drag superstar and our precious Bicolana queen @PreciousPaulaN !! you made all of us proud grabe yung pasabog sa last LFYL 👑💖 
#DragRacePHfinale 
#TeamPreciousPaulaNicole",,2022-10-12,14:40:30
95,Telly 🐼,2022-10-12 14:31:06+00:00,"To our first ever, Drag Race Philippines Season 1 Superstar, @PreciousPaulaN ,

CONDRAGULATIONS!!
What we have witnessed tonight is a masterpiece! You are PRECIOUS PAULA NICOLE and yes for sure, You have made your mama proud up in there!

#TeamPreciousPaulaNicole 💖👏👏 https://t.co/iDd0tCO33B",,2022-10-12,14:31:06
96,Gail Alba,2022-10-12 14:29:15+00:00,"Super happy ako for you ❤️😘 You deserve all the love and blessings. Proud si Mama sa iyo ❤️
@PreciousPaulaN 

#TeamPreciousPaulaNicole #PreciousPaulaNicole https://t.co/b7GbOGstvG",,2022-10-12,14:29:15
97,kkoch 🌹,2022-10-12 14:28:12+00:00,"Precious Paula Nicole, well deserved.

Congrats PPN
#DragRacePH #TeamPreciousPaulaNicole","['DragRacePH', 'TeamPreciousPaulaNicole']",2022-10-12,14:28:12
98,A B I G E L,2022-10-12 14:27:17+00:00,"Congratulations @PreciousPaulaN
Deserve! 👑🎊🏳️‍🌈
#TeamPreciousPaulaNicole #DragRacePHfinale","['TeamPreciousPaulaNicole', 'DragRacePHfinale']",2022-10-12,14:27:17
99,We The Pvblic,2022-10-12 14:26:49+00:00,"CONDRAGULATIONS @PreciousPaulaN! 👑

The first @dragraceph Filipina Drag Superstar! 🇵🇭

Here are some of her looks throughout the season! #TeamPreciousPaulaNicole #DragRacePHfinale 

📷: preciouspaulame instagram https://t.co/zViBn5dY5U",,2022-10-12,14:26:49
100,bey,2022-10-12 14:22:58+00:00,YAAAAYYYY YOU DESERVE IT QUEEN!!!!! #TeamPreciousPaulaNicole #DragRacePH,"['TeamPreciousPaulaNicole', 'DragRacePH']",2022-10-12,14:22:58
101,💅,2022-10-12 14:19:23+00:00,Devoured #TeamPreciousPaulaNicole https://t.co/fQhja4aOOQ,['TeamPreciousPaulaNicole'],2022-10-12,14:19:23
102,RIRI 💗,2022-10-12 14:17:31+00:00,"THE REAL CROWN IS YOURS PRECIOUS PAULA NICOLE 👑 
@PreciousPaulaN 

#TeamPreciousPaulaNicole #TeamPrecious #PreciousPaulaNicole #DragRacePH https://t.co/DqJCp1Z4zq","['TeamPreciousPaulaNicole', 'TeamPrecious']",2022-10-12,14:17:31
103,kakaibabe gum ni ppn ❤️,2022-10-12 14:17:05+00:00,"i’m obsessed with this!!

@PreciousPaulaN #TeamPreciousPaulaNicole #TeamPrecious https://t.co/KX6eQbE2PJ","['TeamPreciousPaulaNicole', 'TeamPrecious']",2022-10-12,14:17:05
104,Lady Gagita/ Katy Perya,2022-10-12 14:16:50+00:00,As a proud mom. You deserve everything @PreciousPaulaN 💓 #TeamPreciousPaulaNicole https://t.co/FKEWYKk68Y,['TeamPreciousPaulaNicole'],2022-10-12,14:16:50
105,Mon Sy #NeverAgain #NeverForget,2022-10-12 14:15:55+00:00,DASURV #TeamPreciousPaulaNicole all the way 💖 https://t.co/r2etkTzIDQ,['TeamPreciousPaulaNicole'],2022-10-12,14:15:55
106,BusLangAngSolidNorth 🗯,2022-10-12 14:15:01+00:00,Go for golf congrats because life is Precious Paula Nicole #TeamPreciousPaulaNicole,['TeamPreciousPaulaNicole'],2022-10-12,14:15:01
